date,AAPL,GOOGL,MSFT
2016-11-03,107.6079,784.5,56.8549
2016-11-04,105.2324,771.3,56.0144
2016-11-07,106.7353,794.95,57.0936
2016-11-08,106.9583,802.03,57.829
2016-11-09,106.5413,801.83,57.3037
2016-11-10,107.7146,810.0,57.7622
2016-11-11,103.8652,776.81,55.989
2016-11-14,104.4373,771.76,56.3678
2016-11-15,103.3319,765.47,56.0851
2016-11-16,103.458,770.42,56.6716
2016-11-17,106.4735,782.5,58.0851
2016-11-18,106.3862,787.17,58.4408
2016-11-21,106.7741,778.1,58.1716
2016-11-22,108.5484,788.99,58.6331
2016-11-23,107.9764,789.52,58.662
2016-11-25,107.7534,782.61,57.9793
2016-11-28,108.0442,778.35,58.0178
2016-11-29,107.414,788.38,58.3158
2016-11-30,108.2091,789.1,58.5177
2016-12-01,107.0116,778.55,57.7966
2016-12-02,105.8529,761.9,56.8062
2016-12-05,106.6577,770.0,57.4024
2016-12-06,106.1729,780.19,58.1043
2016-12-07,105.9402,779.95,57.7005
2016-12-08,107.4916,792.95,58.9408
2016-12-09,108.8975,799.3,58.8254
2016-12-12,109.8477,804.82,59.4408
2016-12-13,110.381,812.39,60.0946
2016-12-14,111.5446,815.92,60.5754
2016-12-15,111.8742,817.36,60.2869
2016-12-16,112.9311,818.31,60.5273
2016-12-19,112.2815,809.28,60.1523
2016-12-20,113.1929,813.37,61.2388
2016-12-21,113.2511,815.72,60.9888
2016-12-22,112.8148,809.1,61.3831
2016-12-23,112.0778,808.01,61.0081
2016-12-27,112.9796,808.68,60.7773
2016-12-28,113.9492,813.33,60.96
2016-12-29,112.9117,802.33,60.4408
2016-12-30,113.1056,803.21,60.5369
2017-01-03,112.2815,800.62,60.3735
2017-01-04,112.3299,809.89,60.0754
2017-01-05,112.3978,807.5,59.7966
2017-01-06,113.2317,814.99,59.9023
2017-01-09,114.3661,826.37,60.3446
2017-01-10,115.1612,827.07,60.3158
2017-01-11,115.1321,826.62,60.2004
2017-01-12,115.2824,828.38,60.6331
2017-01-13,115.4909,831.0,60.21
2017-01-17,114.7443,830.0,60.2677
2017-01-18,116.3538,829.8,60.2581
2017-01-19,115.7721,829.0,59.8446
2017-01-20,116.7902,829.09,60.2581
2017-01-23,116.3538,831.61,60.2869
2017-01-24,115.9175,846.98,60.7677
2017-01-25,116.7611,853.55,61.4888
2017-01-26,117.9731,859.05,61.6523
2017-01-27,118.4288,859.0,62.8734
2017-01-30,117.2556,837.06,63.1619
2017-01-31,117.4689,819.5,62.3638
2017-02-01,123.1702,824.0,61.8782
2017-02-02,124.0865,815.0,60.8158
2017-02-03,124.4114,823.13,61.0561
2017-02-06,125.2064,820.92,61.0561
2017-02-07,126.5736,825.5,61.2869
2017-02-08,127.359,830.53,61.1234
2017-02-09,128.2033,831.73,61.0754
2017-02-10,128.9921,832.95,61.7773
2017-02-13,129.5959,837.7,61.7677
2017-02-14,129.9757,839.77,62.3066
2017-02-15,131.972,838.81,62.3936
2017-02-16,132.1181,838.5,62.6258
2017-02-17,131.563,841.31,62.3646
2017-02-21,132.6634,847.99,62.5
2017-02-22,132.8582,848.0,62.2292
2017-02-23,133.7833,851.08,62.3163
2017-02-24,132.3518,847.65,62.4227
2017-02-27,133.5496,844.95,62.4323
2017-02-28,133.4912,847.35,61.9874
2017-03-01,134.28,851.38,62.0357
2017-03-02,136.3347,856.31,62.5774
2017-03-03,135.1467,848.94,61.9003
2017-03-06,135.7163,846.86,61.8809
2017-03-07,135.4193,847.26,62.0938
2017-03-08,135.3122,853.12,62.1615
2017-03-09,135.1077,853.69,63.0611
2017-03-10,135.6044,862.7,62.9837
2017-03-13,135.2148,860.83,62.887
2017-03-14,135.653,863.75,62.4227
2017-03-15,135.7602,867.94,62.442
2017-03-16,137.0359,870.53,62.6355
2017-03-17,137.3085,873.68,62.7903
2017-03-20,136.7242,869.48,62.7903
2017-03-21,138.3895,870.06,63.0611
2017-03-22,136.1838,849.48,62.0261
2017-03-23,137.5617,841.39,62.8193
2017-03-24,137.7954,842.0,63.2256
2017-03-27,135.7407,828.09,62.5194
2017-03-28,137.2209,839.69,62.8386
2017-03-29,139.9184,842.75,62.9934
2017-03-30,140.415,851.98,63.2836
2017-03-31,139.9573,846.83,63.5061
2017-04-03,139.9476,848.75,63.6609
2017-04-04,139.4996,848.0,63.2546
2017-04-05,140.4442,854.71,64.1349
2017-04-06,140.5124,849.5,63.4577
2017-04-07,139.9671,845.0,63.6996
